Title, Max, Min, Avg365, Current, Max Date, Min Date, Deal or No Deal
Chronicles of Narnia Box Set, 38.46, 28.04, 34.66, 38.46, 2023-12-10 , 2025-05-10, 100
The Stand, 18, 7.19, 14.24, 13.86, 2020-12-24, 2019-05-02, 62 
